procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1352768 15068 1418180   0    0 24839   857 18880 104 11 18 70  0  0  0
 0  0      0 1424984 15100 1418236   0    0     0   248 9127 15351 5  7 88  0  0  0
 0  0      0 1415052 15100 1418392   0    0     0   568 8251 15472 4  5 90  0  0  0
 0  0      0 1397884 15100 1418500   0    0     0    28 11798 22370 7 9 85  0  0  0
 0  0      0 1364600 15108 1418732   0    0     0    92 13206 25451 6 9 85  0  0  0
 5  0      0 1333240 15108 1418992   0    0     0     0 13157 24778 6 9 85  0  0  0
 0  0      0 1291364 15108 1419404   0    0     0    24 16329 33720 7 11 82 0  0  0
 0  0      0 1250460 15108 1419712   0    0     0    32 20364 41185 8 11 81 0  0  0
 6  0      0 1208876 15108 1420236   0    0     0    28 20031 40704 8 12 80 0  0  0
 3  0      0 1163484 15116 1420560   0    0     0    32 20215 40791 8 11 80 0  0  0
 5  0      0 1118932 15116 1421192   0    0     0    24 25914 53918 10 15 74 0 0  0
 0  0      0 1073300 15124 1421540   0    0     8    48 25470 52664 12 15 73 0 0  0
 0  0      0 1032972 15124 1422320   0    0     0    40 24688 51691 10 15 75 0 0  0
 5  0      0 990468  15124 1422656   0    0     0  3060 26474 55339 11 15 74 0 0  0
 0  0      0 948804  15124 1423488   0    0     0    28 26837 55959 11 16 73 0 0  0
 0  0      0 906368  15124 1423848   0    0     0     0 28155 60577 11 16 73 0 0  0
 6  0      0 862832  15148 1424728   0    0     0   200 28206 59800 11 16 74 0 0  0
 0  0      0 813428  15148 1425412   0    0     0    32 31546 68773 12 20 68 0 0  0
 1  0      0 767484  15148 1426324   0    0     0    24 35475 78628 14 22 64 0 0  0
 5  0      0 726340  15148 1427280   0    0     0     0 34085 75358 13 21 65 0 0  0
 6  0      0 684956  15148 1428088   0    0     0    28 33884 75027 13 22 65 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 640736  15156 1428940   0    0     0    60 35613 80964 14 22 64 0 0  0
 0  0      0 595904  15156 1429956   0    0     0    40 37238 83959 14 21 65 0 0  0
 3  0      0 553224  15156 1431100   0    0     0    24 38091 83626 15 24 61 0 0  0
 7  0      0 507580  15156 1432144   0    0     0    24 37068 80896 16 23 61 0 0  0
 5  0      0 458756  15156 1433036   0    0     0     0 39438 88455 16 24 60 0 0  0
 0  0      0 409124  15164 1434308   0    0     0    56 38869 84708 16 27 57 0 0  0
 3  0      0 357680  15208 1435364   0    0     0   340 41977 94351 17 24 59 0 0  0
 1  0      0 306060  15208 1436500   0    0     0    24 41520 93336 16 24 60 0 0  0
10  0      0 253852  15208 1437804   0    0     0     0 43810 96897 18 28 55 0 0  0
 3  0      0 211656  15208 1439212   0    0     0    28 44693 100570 18 28 54 0 0 0
 1  0      0 186380  15228 1440048   0    0     0   256 43131 96897 17 29 54 0 0  0
 0  0      0 183356  15228 1441372   0    0     0    40 46246 103158 15 26 59 0 0 0
13  0      0 181648  15228 1442328   0    0     0 16072 43427 96901 21 35 44 0 0  0
 2  0      0 179092  15228 1443456   0    0     0    24 43083 98619 19 29 52 0 0  0
 0  0      0 178176  15228 1444240   0    0     0     0 43857 99414 17 31 51 0 0  0
11  0      0 176748  15236 1445388   0    0     0    80 43449 96601 17 29 53 0 0  0
 9  0      0 175744  15236 1446208   0    0     0    32 43552 96732 17 27 56 0 0  0
 5  0      0 173504  15236 1447376   0    0     0    28 45128 102330 18 29 53 0 0 0
11  0      0 170848  15236 1448108   0    0     0     0 42752 96588 17 28 54 0 0  0
 4  0      0 169052  15236 1449316   0    0     0    24 46946 104112 19 29 52 0 0 0
 0  0      0 167596  15244 1449992   0    0     0    56 42283 95559 19 29 53 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 165832  15252 1451180   0    0     0    76 44384 99673 19 29 52 0 0  0
 0  0      0 158580  15252 1452196   0    0     0     0 46997 102637 18 30 52 0 0 0
 7  0      0 155836  15252 1452932   0    0     0    52 41489 91880 16 28 56 0 0  0
 5  0      0 155360  15252 1454140   0    0     0     0 43952 99229 18 27 55 0 0  0
