Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,33793,0,9,38.86485075492089,1.8463739997969242,2953.493033999621,10023.14443819726,112.79899856395352,0.0,9,20,30,37,63,94,140,470,2700,2900,3000
GET,GET /?currency=X,26570,0,9,39.9805634638274,1.7510470006527612,2939.4465090008453,10023.04610462928,88.68905962312446,0.0,9,20,30,37,63,94,140,710,2700,2900,2900
GET,GET /?product_id=X,3391,0,9,42.71152464374676,2.06626200088067,2936.4109830003144,10022.759068121499,11.318953751675387,0.0,9,20,29,37,63,98,150,980,2800,2900,2900
GET,GET /cart,13383,0,9,36.31642698424401,1.7862519998743664,2880.4284509988065,12197.507733691997,44.671647908779626,0.0,9,19,28,35,59,86,130,590,2700,2800,2900
GET,GET /product/[id],23497,0,8,34.98694716746519,1.8204259995400207,2917.771193999215,7582.4512490956295,78.43157071752185,0.0,8,18,26,33,57,85,120,600,2700,2900,2900
POST,POST /cart (add),16819,0,23,62.788371272616814,3.5757240002567414,3823.881734999304,17362.540162910995,56.14080894999361,0.0,23,48,55,65,110,150,210,500,3400,3800,3800
POST,POST /cart (pre-checkout add),6828,0,24,62.749491638101595,3.8607590013270965,3747.9709799990815,17361.002636203866,22.7914527326569,0.0,24,49,55,66,100,140,200,1000,3300,3700,3700
POST,POST /cart/checkout,6828,0,17,31.130531462202033,2.368108000155189,802.157606000037,6434.802870533099,22.7914527326569,0.0,17,34,46,48,64,85,130,170,650,800,800
POST,POST /cart/empty,6637,0,15,53.81696551891553,3.5892079995392123,3718.6850839989347,9979.291095374416,22.15390623705973,0.0,15,32,48,59,97,130,190,280,3300,3700,3700
POST,POST /setCurrency,9984,0,22,62.236768653423894,3.600650999942445,3710.3164059990377,10024.251602564103,33.32599063896404,0.0,22,47,53,63,100,140,200,1200,3300,3700,3700
,Aggregated,147730,0,12,44.02758278842329,1.7510470006527612,3823.881734999304,10838.886752859948,493.11384185638605,0.0,12,25,38,47,73,110,160,440,2800,3700,3800
