procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1236300 38188 1518016   0    0    11   966 14318  78 11 15 74  0  0  0
 0  0      0 1310804 38188 1518084   0    0     0    20 7440 13234 4  5 91  0  0  0
 0  0      0 1289272 38212 1518192   0    0     0   148 8435 15506 4  5 91  0  0  0
 0  0      0 1260472 38212 1518452   0    0     0    60 9544 17263 5  6 89  0  0  0
 6  0      0 1232424 38212 1518724   0    0     0    28 13427 26250 6 7 87  0  0  0
 0  0      0 1208856 38212 1519004   0    0     0    20 12572 24747 5 7 87  0  0  0
 0  0      0 1173224 38212 1519296   0    0     0     4 12978 24263 5 8 87  0  0  0
 0  0      0 1147144 38220 1519592   0    0     0    52 16244 32032 6 8 86  0  0  0
 2  0      0 1110296 38220 1520004   0    0     0    16 15921 31482 7 9 84  0  0  0
 0  0      0 1074428 38224 1520364   0    0     0  1672 19107 38753 9 9 82  0  0  0
 0  0      0 1039916 38224 1520844   0    0     0     0 21818 45456 9 12 79 0  0  0
 1  0      0 1005048 38224 1521200   0    0     0   208 19943 39991 8 9 83  0  0  0
13  0      0 972244  38224 1521728   0    0     0    24 23543 49725 9 15 76 0  0  0
 8  0      0 938628  38232 1522256   0    0     0   136 23203 49649 10 13 76 0 0  0
 0  0      0 903780  38232 1522808   0    0     0    28 25038 52365 11 13 76 0 0  0
 0  0      0 869224  38232 1523276   0    0     0    24 26072 56311 10 16 74 0 0  0
 9  0      0 825688  38232 1523968   0    0     0     0 28116 59089 13 17 70 0 0  0
 1  0      0 794616  38260 1524420   0    0     0   296 27467 60454 13 17 70 0 0  0
 1  0      0 761636  38260 1525172   0    0     0    16 27841 60925 12 17 71 0 0  0
13  0      0 726384  38260 1525632   0    0     0    24 29008 61260 12 19 69 0 0  0
 0  0      0 691876  38260 1526496   0    0     0     0 31554 68916 13 19 68 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 655356  38268 1527112   0    0     0    96 31583 67579 13 19 68 0 0  0
 7  0      0 623684  38276 1527960   0    0     0    52 32929 72957 14 19 67 0 0  0
 0  0      0 589912  38276 1528556   0    0     0    68 31149 67640 12 20 67 0 0  0
