Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,17005,14914,1,3776.822182338858,0.3218810006728745,164303.52878899977,1228.6674507497794,56.878064249477326,49.88411938939752,1,1,2,3,6,98,161000,163000,164000,164000,164000
GET,GET /?currency=X,13846,12217,1,4034.3651379599087,0.3514699992592796,164323.62219799962,1175.5659396215513,46.31188930304399,40.86323498593734,1,1,2,3,7,110,161000,163000,164000,164000,164000
GET,GET /?product_id=X,1650,1462,1,4110.467498968473,0.34540700016805204,164177.44460799987,1139.1048484848484,5.5188947963327015,4.890075268023279,1,1,2,3,6,77,161000,163000,164000,164000,164000
GET,GET /cart,6932,6115,1,4167.693460202673,0.3419360000407323,164311.8383310002,1018.7370167339873,23.186047714047444,20.453358593681497,1,1,2,3,7,110,161000,163000,164000,164000,164000
GET,GET /product/[id],12076,10558,1,4061.798621437551,0.3269689996159286,164271.7863220005,950.4452633322292,40.39162033970527,35.31423712707919,1,1,2,3,7,110,161000,163000,164000,164000,164000
POST,POST /cart (add),8470,7450,1,3765.735853393615,0.34546200004115235,164391.52197099975,1984.1027154663518,28.33032662117453,24.91864620162341,1,1,2,3,13,130,161000,163000,164000,164000,164000
POST,POST /cart (pre-checkout add),3531,3106,1,3086.5465381147214,0.34052600040013203,164327.31649800006,1981.7176437269895,11.810434864151981,10.388901356005679,1,1,2,3,11,120,31000,162000,164000,164000,164000
POST,POST /cart/checkout,3531,3108,1,226.95774221381302,0.35500499961926835,164211.54845099954,770.4862645143019,11.810434864151981,10.39559092545578,1,1,2,2,7,36,81,270,30000,164000,164000
POST,POST /cart/empty,3452,3052,1,3991.8895632079993,0.32927299980656244,164293.75877799976,1155.542873696408,11.546196870873022,10.208282980852973,1,1,2,3,10,140,161000,163000,164000,164000,164000
POST,POST /setCurrency,5139,4531,1,4276.931307916121,0.35249300071882317,164391.69645499988,1183.3158201984822,17.188848702032576,15.155219589202103,1,1,2,3,11,130,161000,163000,164000,164000,164000
,Aggregated,75632,66513,1,3757.174245801081,0.3218810006728745,164391.69645499988,1245.276298392215,252.97275832499082,222.47166641725877,1,1,2,3,8,110,161000,163000,164000,164000,164000
